"gene_id"	"gene_name"	"count"	"CPM"
"ENSG00000107404.19"	"DVL1"	506	23.2528662422699
"ENSG00000284372.1"	"MIR6808"	0	0
"ENSG00000162576.16"	"MXRA8"	22	1.01099418444652
"ENSG00000175756.13"	"AURKAIP1"	400	18.3817124444821
"ENSG00000223663.2"	"NDUFB4P8"	3	0.137862843333616
"ENSG00000221978.11"	"CCNL2"	3385.33418	155.570598563092
"ENSG00000224870.6"	"AL391244.1"	218	10.0180332822427
"ENSG00000242485.5"	"MRPL20"	524.08104	24.0837674372128
"ENSG00000264293.2"	"RN7SL657P"	5.5	0.252748546111629
"ENSG00000272455.1"	"AL391244.3"	47	2.15985121222665
"ENSG00000235098.8"	"ANKRD65"	9	0.413588530000847
"ENSG00000225905.1"	"AL391244.2"	0	0
"ENSG00000205116.3"	"TMEM88B"	0	0
"ENSG00000225285.1"	"LINC01770"	1	0.0459542811112053
"ENSG00000179403.11"	"VWA1"	89	4.08993101889727
"ENSG00000215915.9"	"ATAD3C"	200.690016	9.22256541147628
"ENSG00000160072.19"	"ATAD3B"	421.72127	19.3798977921545
"ENSG00000284740.1"	"AL645728.2"	13.75	0.631871365279072
"ENSG00000197785.13"	"ATAD3A"	236.66965	10.8759836265906
"ENSG00000205090.8"	"TMEM240"	9	0.413588530000847
"ENSG00000160075.11"	"SSU72"	505.5025	23.230003987417
"ENSG00000215014.5"	"AL645728.1"	50	2.29771405556026
"ENSG00000274481.1"	"AL691432.3"	0	0
"ENSG00000228594.3"	"FNDC10"	1	0.0459542811112053
"ENSG00000272106.1"	"AL691432.2"	24	1.10290274666893
"ENSG00000197530.12"	"MIB2"	408.833333	18.787641912313
"ENSG00000189409.13"	"MMP23B"	15.5	0.712291357223682
"ENSG00000248333.8"	"CDK11B"	669.580886	30.7701082619339
"ENSG00000272004.1"	"FO704657.1"	9.5	0.43656567055645
"ENSG00000189339.11"	"SLC35E2B"	649.123549	29.8300060466492
"ENSG00000269737.2"	"AL691432.1"	341.77611	15.7060754360342
"ENSG00000215914.4"	"MMP23A"	6.5	0.298702827222834
"ENSG00000008128.22"	"CDK11A"	207.1520427	9.5195232029962
"ENSG00000268575.1"	"AL031282.2"	309.2737144	14.2124512118442
"ENSG00000227775.3"	"AL031282.1"	159.229046	7.31725634095303
"ENSG00000215790.7"	"SLC35E2A"	364.335989	16.742798457435
"ENSG00000008130.15"	"NADK"	1594.68519	73.2826115051358
"ENSG00000078369.17"	"GNB1"	2163.4187945	99.4183554437178
"ENSG00000231050.1"	"AL109917.1"	8	0.367634248889642
"ENSG00000169885.9"	"CALML6"	11	0.505497092223258
